ParentPageID,Product Name,Filter,Brand,Image,Features
284,Danfoss Maneurop Reciprocating Compressors,Refrigeration Compressors,Danfoss,1-Danfoss-Maneurop-Reciprocating-Compressors.jpg,"Reciprocating compressors for refrigeration applications in medium and high temperatures. 
Refrigerants R407A, R407C, R407F, R134a, R404A/R507A and R22."
284,Danfoss Inverter Compressor Solutions,Refrigeration Compressors,Danfoss,2-Danfoss-Inverter-Compressor-Solutions.jpg,"Danfoss inverter reciprocating compressor solutions for light commercial refrigeration.
Refrigerant R407C, R404A/R507A, R134a, single units. 
"
284,Danfoss Light Commercial Refrigeration Compressors,Refrigeration Compressors,Danfoss,3-Danfoss-Light-Commercial-Refrigeration-Compressors.jpg,"Wide range of light commercial refrigeration compressors.
Small light commercial reciprocating compressors for low, medium and high temperatures. 220 – 240V/50Hz -  LBP & HBP
Refrigerants R134a, R404A/R507A.
"
284,Danfoss Scroll Compressors,Refrigeration Compressors,Danfoss,3-Danfoss-Scroll-Compressors.jpg,"Scroll Compressors
LLZ, MLZ and MLM scroll compressors are dedicated to commercial and light commercial refrigeration applications.
Refrigerants  -R134a, R404A/R507A, R22, R407A, R407F
"
283,Danfoss Inverter Compressor Solutions,Air Conditioning Compressors,Danfoss,1-Danfoss-Inverter-Compressor-Solutions.jpg,"Danfoss inverter reciprocating compressor solutions for light commercial air conditioning and process cooling. 
Refrigerants - R407C, R134a 
"
283,Danfoss Maneurop Reciprocating Compressors,Air Conditioning Compressors,Danfoss,2-Danfoss-Maneurop-Reciprocating-Compressors.jpg,"Reciprocating compressors for air conditioning applications in medium and high temperatures.
Refrigerants R407A, R407C, R407F, R134a, R22. 
"
283,Danfoss Scroll Compressors,Air Conditioning Compressors,Danfoss,3-Danfoss-Scroll-Compressors,"SM, SY, HRM, HLM, HCM, Single Units
Residential applications 380-400V/3/50Hz - 460V/3/60Hz
Refrigerants – R22, R407C, R134a
"
283,Copeland Scroll™ Two-stage Compressor for Commercial AC Applications,Air Conditioning Compressors,Danfoss,4-Copeland-Scroll-Two-stage-Compressor-for-Commercial-AC-Applications.jpg,"Brand: Copeland ZR Series
Best in class efficiency to meet regional standards
Capacity Range: 16,800 - 55,000 BTU/HR
Refrigerants: R22, R407C, R410A
"
288,Thermostatic Expansion Valves,Expansion Valves,Danfoss,1-Thermostatic-Expansion-Valves.jpg,"Exchangeable Orifice
Thermostatic expansion valves regulate the injection of refrigerant liquid into evaporators.
Temperature range from –60°C to +50°C.Rated capacity: 0.5 to 1890 kW (R 22).
"
288,Solenoid Valves,Solenoid Valves,Danfoss,2-Solenoid-Valves.jpg,"Solenoid Valves for refrigeration applications, standard types for fluorinated refrigerants
And ammonia (R717) also contains Solenoid Valves in stainless steel, Gas Powered Valves and Pulse Solenoid Valves.
"
288,Solenoid Coils,Solenoid Coils,Danfoss,3-Solenoid-Coils.jpg,"Danfoss coils are specially designed to operate in the aggressive environment with high humidity and temperature fluctuationsfound in most refrigeration systems.
Clip-on coils are available for the entire range of Danfoss solenoid valves for refrigeration, freezing and air conditioning applications.
"
288,Electrically Operated Valves,Electric Expansion Valves,Danfoss,4-Electrically-Operated-Valves.jpg,"The Danfoss portfolio of Electric Expansion Valves consists of Solenoid Expansion Valves and Stepper Motor Expansion Valves, including versions for CO2 systems.
The Danfoss portfolio of Electric Expansion Valves makes it possible to keep up with the increasing environmental concerns and tighter CO2 emission regulations.
Significant energy savings and cost reductions.
"
